id_tanggal_transaksi_awal,tanggal_transaksi_awal,tipe_kartu,id_merchant,nama_merchant,tipe_mesin,tipe_transaksi,nama_transaksi,nilai_transaksi,id_negara,nama_negara,nama_kota,lokasi_mesin,pemilik_mesin,waktu_transaksi,kuartal_transaksi,kepemilikan_kartu,nama_channel,id_channel,rata_rata_nilai_transaksi,maksimum_nilai_transaksi,minimum_nilai_transaksi,rata_rata_jumlah_transaksi,flag_transaksi_fraud
2457539,2457553,104,-2,1798,-3,156,12,1500000,96,5,187,5641,1395,184011,4,1,5,8,654787.7857,2000000,100000,1.5,1
2457431,2457469,0,-2,1798,-3,156,12,1250000,96,5,7,189,20,11613,1,1,5,8,617093.6098,1250000,55500,2,1
2457451,2457519,103,-2,1798,2621550,238,9,1100000,96,5,239,8449,613,172250,3,2,1,9,1147061.235,5640000,25000,1.53,1
2457363,2457416,111,-2,1798,1337891,26,10,2500000,96,5,128,810,613,140013,3,2,1,9,2750000,15000000,82000,2.13,1
2457474,2457566,103,-2,1798,2345425,385,11,1e+05,96,5,128,3528,613,235204,4,2,1,9,625211.2676,2500000,50000,1.74,1
2457632,2457718,93,-2,1798,2432936,26,10,1250000,96,5,128,3850,613,162948,3,2,1,9,1564276.889,14000000,100000,1.5,1
2457472,2457563,103,-2,1798,1492210,26,10,109714,96,5,128,1608,613,193926,4,2,1,9,429270.4,6240000,20500,3.29,1
2457454,2457546,104,-2,1798,302,26,10,50000,96,5,241,2809,613,173117,3,2,1,9,2070263.158,5000000,129000,2.11,1
2457434,2457522,93,-2,1798,1329225,26,10,7e+05,96,5,241,767,613,114356,2,2,1,9,2813236.621,14000000,500000,3.11,1
2457308,2457341,111,-2,1798,-3,156,12,1500000,96,5,51,19,614,91849,2,1,5,8,2785405.263,25000000,100000,1.84,1
2457459,2457505,138,-2,1798,1990916,26,10,1e+06,96,5,70,2728,613,193351,4,2,1,9,444720.7588,2700000,10000,1.72,1
2457662,2457715,0,-2,1798,2142716,26,10,2500000,96,5,128,2970,613,163956,3,2,1,9,6780372.708,13450000,2500000,19.78,1
2457378,2457396,111,-2,1798,2129394,26,10,2e+05,96,5,128,3098,613,51821,1,2,1,9,448567.5317,1060000,20500,1.31,1
2457607,2457703,111,-2,1798,1590933,385,11,1250000,96,5,241,1835,613,162158,3,2,1,9,287720.3488,2300000,21600,1.2,1
2457349,2457359,103,-2,1798,2254860,385,11,5e+05,96,5,128,3195,613,145437,3,2,1,9,797473.227,1750000,250000,1.46,1
2457467,2457499,93,-2,1798,-3,156,12,1e+06,96,5,8,4,9,171338,3,1,5,8,2116285.714,12000000,200000,2.69,1
2457510,2457581,93,-2,1798,1304764,238,9,2500000,96,5,70,5351,613,171821,3,2,1,9,459148.0984,1500000,60000,1.67,1
2457373,2457464,0,-2,1798,-3,156,12,4e+05,96,5,60,1177,1595,180829,4,1,5,8,1028470.333,14905000,25700,2.6,1
2457476,2457506,0,-2,1798,84019,159,19,4e+06,96,5,128,3317,613,62025,2,2,1,9,1965300.17,11110000,300000,1.29,1
2457496,2457584,4,-2,1798,1581539,26,10,1250000,96,5,128,1923,613,95849,2,2,1,9,885580.321,2000000,50000,1.5,1
2457473,2457511,111,-2,1798,81486,385,11,5e+05,96,5,128,3772,613,90804,2,2,1,9,122595.0822,410000,50000,2.28,1
2457561,2457607,93,-2,1798,-3,156,12,1e+05,96,5,128,1360,1637,124122,3,1,5,8,1364131.82676895,12287602,76519,2.43618208180708,1
2457410,2457500,4,-2,1798,701282,385,11,2500000,96,5,128,5079,613,22127,1,2,1,9,2373577.407,20000000,158650,1.5,1
2457469,2457534,111,-2,1798,2178475,238,9,3150000,96,5,128,7889,613,84454,2,2,1,9,1121962.467,25000000,21800,2.39,1
2457559,2457653,0,-2,1798,-3,156,12,5e+05,96,5,8,86,33,160555,3,1,5,8,589583.3333,2100000,50000,1.41,1
2457423,2457461,5,-2,1798,-3,156,12,1200000,96,5,189,5667,2173,162124,3,1,5,8,768508.1351,5500000,25000,2.62,1
2457512,2457570,104,-2,1798,3031391,385,11,1e+06,96,5,128,8154,613,123700,3,2,1,9,548845.625,1150000,21329,1.8,1
2457531,2457590,111,-2,1798,-3,156,12,2500000,96,5,128,7758,1384,170209,3,1,5,8,2206750,15000000,147000,1.73,1
2457437,2457526,104,-2,1798,1518190,385,11,1250000,96,5,265,1622,613,84325,2,2,1,9,323243.2432,2450000,10,4.99,1
2457326,2457416,103,-2,1798,-3,156,12,2050000,96,5,288,1270,1396,194520,4,1,5,8,1808152.683,27000000,100000,2.32,1
2457609,2457674,104,-2,1798,298304,26,10,1e+06,96,5,75,4743,613,154802,3,2,1,9,197729.0217,700000,14990,2.2,1
2457486,2457555,93,214033,969,552401,58,6,350000,96,5,128,7684,1488,175001,3,2,2,4,5351677.425,75000000,46000,2.4,1
2457515,2457571,103,-2,1798,2162047,385,11,2500000,96,5,128,7889,613,145411,3,2,1,9,417920.9355,1250000,50000,1.53,1
2457406,2457421,104,-2,1798,2505746,301,16,1100000,96,5,265,8287,613,204113,4,2,1,9,347951.6129,2500000,13200,1.81,1
2457415,2457504,111,276952,1153,2461840,58,6,1e+06,96,5,56,6971,1764,150237,3,2,2,4,1175766.31,10100000,50000,2.05,1
2457622,2457701,5,-2,1798,2118231,26,10,3e+05,96,5,128,2968,613,162310,3,2,1,9,1316323.918,15000000,300000,2.14,1
2457417,2457507,111,-2,1798,1154047,385,11,1250000,96,5,128,464,613,83522,2,2,1,9,711007.8384,3250000,50000,1.76,1
2457339,2457353,93,-2,1798,-3,156,12,1e+05,96,5,265,122,184,185505,4,1,5,8,2630672.136,20000000,106300,1.63,1
2457529,2457544,111,-2,1798,1790374,147,3,2987800,96,5,128,2164,613,82751,2,2,1,9,771564,1500000,50000,1.5,1
2457538,2457627,103,-2,1798,2512545,385,11,1250000,96,5,128,8264,613,112803,2,2,1,9,831094.8276,2500000,35100,1.74,1
2457459,2457535,93,-2,1798,-3,156,12,2e+06,96,5,279,3846,1396,190822,4,1,5,8,1535916.851,34000000,22500,1.77,1
2457556,2457647,111,-2,1798,-3,156,12,1500000,96,5,128,5661,1964,1215,1,1,5,8,1155874.237,10000000,70700,1.58,1
2457534,2457626,0,-2,1798,3105437,385,11,1250000,96,5,75,8207,613,112803,2,2,1,9,467139.5469,3000000,29500,1.87,1
2457374,2457429,111,-2,1798,2751069,238,9,5e+06,96,5,70,8498,613,202245,4,2,1,9,1190239.781,15844300,25000,2.54,1
2457473,2457481,104,-2,1798,1415743,26,10,2e+06,96,5,128,1297,613,84325,2,2,1,9,948031.25,7000000,35500,1.17,1
2457460,2457544,0,-2,1798,1486949,26,10,1e+06,96,5,181,1565,613,230406,4,2,1,9,931864.8649,5500000,168000,1.54,1
2457610,2457668,104,-2,1798,1332962,26,10,1700000,96,5,58,814,613,152222,3,2,1,9,713627.9,1000000,300000,1.06,1
2457548,2457640,111,-2,1798,-3,156,12,9e+05,96,5,241,1463,1647,122900,3,1,5,8,445198.913,4300000,21680,2.29,1
2457586,2457604,111,-2,1798,1873287,159,19,1e+07,96,5,60,2765,613,101831,2,2,1,9,1448783.65,17860800,50000,2.42,1
2457405,2457423,111,-2,1798,2042970,385,11,5e+05,96,5,128,2813,613,152151,3,2,1,9,973804.4808,6800000,41660,2.03,1
2457589,2457627,103,-2,1798,2810555,238,9,1800000,96,5,102,8625,613,73814,2,2,1,9,238342.3333,900000,21000,2.93,1
2457535,2457624,0,-2,1798,1344488,385,11,2e+06,96,5,70,850,613,104113,2,2,1,9,3554942.886,30000000,1000000,3.94,1
2457420,2457449,103,-2,1798,-3,156,12,6e+05,216,11,143,5539,811,164815,3,1,5,8,439029.9451,3004500,40800,1.68,1
2457562,2457651,111,-2,1798,1529252,159,19,405000,96,5,70,1704,613,124627,3,2,1,9,1210242.933,5000000,65000,1.97,1
2457460,2457547,0,-2,1798,1482636,301,16,5e+06,96,5,128,1569,613,41402,1,2,1,9,1855409.474,7000000,135000,1.73,1
2457357,2457366,93,-2,1798,-3,440,15,3e+06,96,5,7,65,233,150605,3,1,5,8,1275542.938,5000000,100000,1.29,1
2457551,2457543,103,-2,1798,-3,156,12,1250000,96,5,8,73,140,185707,4,1,5,8,834782.6087,2500000,50000,1.55,1
2457390,2457404,93,-2,1798,84011,26,10,2500000,96,5,128,3804,613,193211,4,2,1,9,1888782.895,11000000,100000,1.95,1
2457430,2457513,93,-2,1798,1820986,238,9,2500000,96,5,128,5498,613,100524,2,2,1,9,2855334.073,25000000,100000,3.13,1
2457613,2457696,111,-2,1798,2132716,26,10,650000,96,5,128,3100,613,203200,4,2,1,9,1228742.869,25000000,12000,1.69,1
2457369,2457440,111,-2,1798,2339434,26,10,5e+05,96,5,91,3471,613,210810,4,2,1,9,1066010.248,3000000,100000,1.67,1
2457561,2457652,0,-2,1798,1191455,147,3,201800,96,5,265,534,613,174354,3,2,1,9,990849.2615,9500000,21000,1.85,1
2457636,2457685,93,-2,1798,2771094,26,10,1250000,96,5,128,4301,613,132330,3,2,1,9,1264730.357,2500000,173455,1.29,1
2457657,2457737,104,-2,1798,-3,156,12,1500000,96,5,5,84,222,133056,3,1,5,8,630952.381,3000000,55000,1.24,1
2457571,2457662,111,-2,1798,-3,156,12,2500000,96,5,197,1259,1668,65131,2,1,5,8,1349631.648,2500000,100000,2.93,1
2457570,2457633,103,-2,1798,-3,156,12,1e+06,96,5,244,4615,346,132750,3,1,5,8,617486.5854,1350000,100000,1.5,1
2457447,2457480,93,-2,1798,1154046,159,19,1.3e+07,96,5,241,437,613,223908,4,2,1,9,5527200,40000000,62769,2,1
2457408,2457436,93,-2,1798,335621,147,3,2255700,96,5,70,4849,613,125221,3,2,1,9,1666466.386,23814624,25000,2.53,1
2457484,2457573,111,-2,1798,-3,156,12,2500000,96,5,93,5102,1556,195519,4,1,5,8,2508051.923,50000000,50000,3.7,1
2457662,2457669,93,114302,269,2415057,58,6,1200000,96,5,242,6794,621,111604,2,2,2,4,4464044.819,100000000,26300,1.33,1
2457580,2457673,104,-2,1798,-3,156,12,1250000,96,5,8,88,171,120202,3,1,5,8,462000,5877000,23650,1.74,1
2457610,2457702,93,-2,1798,219649,159,19,2e+06,96,5,128,4426,613,81645,2,2,1,9,1468430.949,11440017,26500,4.23,1
2457662,2457750,104,-2,1798,611362,26,10,250000,96,5,128,4993,613,183306,4,2,1,9,224162.8846,1300000,10000,1.73,1
2457590,2457683,104,-2,1798,-3,156,12,1e+06,96,5,128,4874,1133,172037,3,1,5,8,949982.2785,3000000,53266,1.95,1
2457449,2457490,1,-2,1798,2605130,238,9,1850000,96,5,69,5625,613,233202,4,2,1,9,1028470.333,2000000,500000,1.45,1
2457643,2457725,111,-2,1798,1431424,385,11,1e+05,96,5,60,1397,613,201938,4,2,1,9,634615.3846,3500000,85500,1.45,1
2457576,2457668,103,-2,1798,2069723,385,11,1250000,96,5,152,2920,613,93151,2,2,1,9,347571.9512,1000000,80000,1.08,1
2457576,2457636,0,-2,1798,-3,156,12,2500000,96,5,274,5721,1386,123756,3,1,5,8,5208488.675,40000000,100000,2,1
2457636,2457638,104,-2,1798,2771094,385,11,1e+06,96,5,293,4183,613,84640,2,2,1,9,854314.0611,3100000,55740,2.13,1
2457354,2457386,0,-2,1798,1083542,26,10,1e+06,96,5,70,319,613,85843,2,2,1,9,556074.1842,1000000,55500,1.94,1
2457312,2457342,111,-2,1798,-3,156,12,1e+06,96,5,241,3121,1958,81106,2,1,5,8,1841180.851,2500000,34400,2.7,1
2457523,2457607,93,-2,1798,2057672,26,10,2500000,96,5,128,2882,613,95858,2,2,1,9,3299588.147,75000000,50000,2.33,1
2457558,2457628,93,-2,1798,-3,156,12,1e+06,96,5,75,7802,2400,181434,4,1,5,8,1107240.222,10000000,17500,1.85,1
2457326,2457407,103,-2,1798,1751760,26,10,5e+05,96,5,69,2085,613,132808,3,2,1,9,434347.3846,1000000,50000,1.77,1
2457650,2457744,111,-2,1798,1380366,385,11,2e+05,96,5,70,1066,613,185131,4,2,1,9,189089.3556,1500000,21400,1.88,1
2457404,2457478,93,-2,1798,1602647,385,11,1500000,96,5,128,1802,613,144014,3,2,1,9,4906702.847,75000000,100000,2.91,1
2457568,2457633,104,-2,1798,-3,440,15,125000,96,5,4,160,247,151001,3,1,5,8,168090.9091,400000,50000,1.13,1
2457573,2457612,111,-2,1798,1874485,385,11,1250000,96,5,128,2405,613,150544,3,2,1,9,1214810.459,10000000,20000,2.9,1
2457655,2457658,103,-2,1798,2330,147,3,1e+06,96,5,128,374,613,184858,4,2,1,9,1364131.82676895,12287602,76519,2.43618208180708,1
2457325,2457416,0,-2,1798,-3,156,12,2500000,96,5,128,7729,1355,164815,3,1,5,8,1594155,6711000,48000,1.62,1
2457461,2457502,0,-2,1798,-3,156,12,2e+05,96,5,126,1181,2001,63817,2,1,5,8,568563.3893,2500000,50000,1.75,1
2457396,2457480,103,-2,1798,-3,156,12,2e+06,96,5,75,1264,1168,131150,3,1,5,8,911327.9213,2500000,34200,1.71,1
2457620,2457695,93,-2,1798,1593807,385,11,1250000,96,5,60,1876,613,141517,3,2,1,9,820753.6559,3200000,71500,1.29,1
2457568,2457602,93,-2,1798,1390312,26,10,1e+06,96,5,265,1161,613,105441,2,2,1,9,4317921.569,100000000,25000,2.57,1
2457593,2457680,111,-2,1798,-3,156,12,1e+06,96,5,93,3796,2067,202214,4,1,5,8,254614.3293,2500000,19000,1.62,1
2457601,2457691,104,-2,1798,2493992,26,10,50000,96,5,189,8097,613,124916,3,2,1,9,147165.0701,1000000,15000,2.11,1
2457556,2457634,111,-2,1798,2413331,26,10,2500000,96,5,128,3790,613,115515,2,2,1,9,784863.0684,1250000,100000,1.5,1
2457587,2457668,111,216408,272,2355159,58,6,348175,96,5,128,7237,612,175753,3,2,2,4,7234872.072,25000000,1887000,2.29,1
2457564,2457656,111,-2,1798,-3,156,12,1e+06,96,5,8,185,20,114730,2,1,5,8,2379787.081,40000000,51500,1.86,1
2457509,2457549,111,-2,1798,2121819,385,11,1e+06,96,5,128,3049,613,152301,3,2,1,9,872627.3962,2750000,162000,1.75,1
2457522,2457608,111,-2,1798,-3,156,12,1e+06,96,5,128,7775,1368,150340,3,1,5,8,1818789.474,10000000,100000,1.25,1
2457659,2457746,2,-2,1798,-3,156,12,4e+05,96,5,128,4076,2397,91528,2,1,5,8,2111071.972,20000000,123804,2.52,1
2457636,2457724,111,-2,1798,-3,440,15,5e+07,73,15,174,5686,2515,112005,2,1,3,8,2530285.326,20000000,410000,3.15,1
2457411,2457494,1,-2,1798,228,147,3,1600000,96,5,186,2906,613,185323,4,2,1,9,632142.8571,2500000,50000,2.5,1
2457315,2457374,103,-2,1798,-3,156,12,1900000,96,5,51,24,614,165728,3,1,5,8,524216.0714,3000000,27100,1.74,1
2457325,2457380,111,-2,1798,1163451,26,10,1250000,96,5,70,526,613,81920,2,2,1,9,549928.8136,3260000,20000,2.73,1
2457421,2457498,104,-2,1798,-3,156,12,1250000,96,5,8,133,144,182128,4,1,5,8,514956.3333,5000000,21700,2.35,1
2457503,2457590,111,-2,1798,1819593,26,10,1200000,96,5,187,2180,613,94620,2,2,1,9,1186971.627,6162385,30400,2.51,1
2457475,2457529,138,-2,1798,2162048,26,10,1e+06,96,5,70,7876,613,111300,2,2,1,9,444720.7588,2565000,10000,2.13,1
2457477,2457525,111,273000,1836,2652715,58,6,93000,96,5,60,6479,2659,155631,3,2,2,4,580885.5516,20000000,21500,1.57,1
2457526,2457592,103,-2,1798,1366851,26,10,1250000,96,5,265,964,613,94801,2,2,1,9,466721.75,1750000,39000,1.16,1
2457390,2457460,111,-2,1798,-3,156,12,2e+06,96,5,101,4864,2535,184431,4,1,5,8,1219878.346,2500000,100000,1.83,1
2457451,2457510,103,-2,1798,-3,156,12,1200000,96,5,237,7833,510,145328,3,1,5,8,374183,1250000,17425,1.17,1
2457510,2457521,93,-2,1798,185678,159,19,6e+06,96,5,101,3988,613,140923,3,2,1,9,1364131.82676895,12287602,76519,2.43618208180708,1
2457433,2457509,111,-2,1798,-3,156,12,1e+06,96,5,223,3191,2640,162434,3,1,5,8,190671.4915,1200000,21600,1.25,1
2457650,2457740,0,-2,1798,2647208,26,10,2e+06,96,5,187,4197,613,143529,3,2,1,9,1284469.294,2300000,1100000,2.86,1
2457298,2457323,0,-2,1798,1389004,26,10,1500000,96,5,128,1126,613,155538,3,2,1,9,700686.3697,5000000,46000,1.7,1
2457443,2457497,111,-2,1798,1243314,26,10,2500000,96,5,86,550,613,73003,2,2,1,9,2450906.817,13425780,100000,2.45,1
2457592,2457638,111,460665,258,3375676,58,6,8635000,96,5,203,6380,603,95921,2,2,2,4,2227785.714,4700000,365600,2.44,1
2457526,2457606,0,-2,1798,1369199,385,11,1250000,96,5,128,1075,613,92855,2,2,1,9,584346.3415,2000000,50000,1.34,1
2457445,2457520,93,-2,1798,1468759,385,11,1250000,96,5,128,1492,613,65128,2,2,1,9,914155.3738,3600000,100000,1.89,1
2457499,2457550,111,-2,1798,1572176,385,11,3e+05,96,5,256,1456,613,125831,3,2,1,9,246257.4082,1000000,97000,1.52,1
2457388,2457471,111,-2,1798,-3,156,12,2500000,96,5,8,28,112,150802,3,1,5,8,1317066.176,15000000,300000,3.23,1
2457659,2457665,2,-2,1798,-3,156,12,5e+05,96,5,229,108,51,154502,3,1,5,8,422543.1184,8503541,39300,2.95,1
2457411,2457502,1,-2,1798,-3,156,12,1250000,96,5,35,211,209,115250,2,1,5,8,831000,3200000,26500,4.41,1
2457576,2457669,93,-2,1798,1289502,148,5,1e+05,96,5,265,735,613,165628,3,2,1,9,3714086.914,20000000,500000,2.23,1
2457509,2457534,93,-2,1798,1588046,385,11,2500000,96,5,70,1902,613,131204,3,2,1,9,2823291.766,14000000,25000,3.76,1
2457472,2457514,103,-2,1798,1834410,385,11,1e+06,96,5,128,2296,613,83723,2,2,1,9,349397.0588,1000000,30000,1.6,1
2457395,2457418,111,-2,1798,-3,158,12,2500000,96,5,65,7761,2392,80759,2,1,5,8,1342663.887,10000000,50000,1.89,1
2457385,2457384,93,-2,1798,1037368,301,16,1e+07,96,5,265,4522,613,132818,3,2,1,9,2222784.81,5000000,1000000,3.57,1
2457575,2457668,0,-2,1798,2124651,26,10,1250000,96,5,128,3045,613,114536,2,2,1,9,1358068.853,1900000,1000000,5,1
2457635,2457677,104,-2,1798,1581535,26,10,2e+05,96,5,265,1834,613,171450,3,2,1,9,90000,100000,50000,1.2,1
2457513,2457512,111,-2,1798,-3,156,12,2e+06,96,5,284,1180,1596,103751,2,1,5,8,1863980.797,2500000,1000000,1.61,1
2457582,2457674,111,-2,1798,1942709,301,16,2500000,96,5,128,2751,613,81858,2,2,1,9,1214624.702,10000000,22308,2.91,1
2457603,2457646,111,-2,1798,1525134,26,10,1250000,96,5,273,1697,613,132907,3,2,1,9,287720.3488,2000000,10000,1.77,1
2457450,2457545,111,-2,1798,3100361,26,10,2e+05,96,5,265,8089,613,114401,2,2,1,9,247683.4304,1250000,21400,1.65,1
2457660,2457751,132,-2,1798,-3,156,12,2500000,96,5,128,5228,1974,134155,3,1,5,8,1341592.168,9160000,200000,1.61,1
2457505,2457566,103,-2,1798,1531798,238,9,1200000,96,5,181,5422,613,124156,3,2,1,9,834782.6087,2500000,50000,1.74,1
2457647,2457738,111,-2,1798,1893591,147,3,4899000,96,5,128,2499,613,222041,4,2,1,9,3686947.417,18640000,50000,1.79,1
2457536,2457602,0,-2,1798,-3,156,12,2500000,96,5,128,5643,2210,143936,3,1,5,8,2057527.778,6700000,238000,6,1
2457636,2457731,104,-2,1798,2536762,159,19,110000,96,5,265,3944,613,164206,3,2,1,9,265531.0526,3300000,90000,1.69,1
2457393,2457418,111,-2,1798,-3,156,12,2e+06,96,5,152,2019,2620,112843,2,1,5,8,1641211.811,14130000,45000,1.39,1
2457590,2457673,111,-2,1798,2419374,26,10,1250000,96,5,128,3921,613,73629,2,2,1,9,2248279.221,50000000,27500,2.66,1
2457636,2457724,93,-2,1798,508187,385,11,2500000,96,5,128,5024,613,70324,2,2,1,9,2382324.27,40000000,26500,3.88,1
2457655,2457661,132,-2,1798,1564130,159,19,13997536,96,5,128,1806,613,132839,3,2,1,9,440822.8642,1100000,54900,1.47,1
2457353,2457426,0,-2,1798,2774055,301,16,5e+05,96,5,60,8566,613,214139,4,2,1,9,1385215.892,10000000,137000,1.86,1
2457638,2457725,0,-2,1798,-3,156,12,1500000,-2,15,42,7764,1,181536,4,1,5,8,873846.1538,5500000,45000,1.64,1
2457582,2457650,111,216408,599,2465814,58,6,1239072,96,5,128,7451,1026,114721,2,2,2,4,1196821.328,10000000,70700,1.58,1
2457557,2457621,0,-2,1798,1618281,159,19,8e+06,96,5,128,1906,613,81810,2,2,1,9,1247238.889,1250000,1730000,5,1
2457534,2457585,111,-2,1798,-3,156,12,2e+05,96,5,128,5146,1986,202313,4,1,5,8,826201.8072,8554000,25700,1.54,1
2457434,2457491,93,-2,1798,1224648,238,9,2450000,96,5,128,5298,613,115301,2,2,1,9,315458.8235,850000,100000,1.31,1
2457425,2457508,93,-2,1798,3108547,301,16,1200000,96,5,75,4528,613,65920,2,2,1,9,4980863.551,75000000,15000,5.84,1
2457585,2457677,104,-2,1798,2432928,385,11,2e+05,96,5,265,3852,613,80654,2,2,1,9,66666.66667,100000,50000,1.67,1
2457314,2457319,104,-2,1798,2432631,238,9,1600000,96,5,189,5590,613,50229,1,2,1,9,389285.7143,1250000,22500,1.64,1
2457628,2457720,104,-2,1798,1347172,26,10,3e+05,96,5,128,906,613,162823,3,2,1,9,363406.4516,1700000,24900,1.73,1
2457419,2457507,103,-2,1798,-3,156,12,1500000,96,5,185,289,561,112233,2,1,5,8,355611.0143,1000000,100000,1.15,1
2457610,2457695,104,-2,1798,91674,301,16,1e+07,96,5,58,5150,613,105113,2,2,1,9,859125.8852,7000000,25000,1.68,1
2457423,2457472,4,-2,1798,2953893,26,10,2500000,96,5,128,4463,613,94844,2,2,1,9,5094545.455,24504480,1026000,1.94,1
2457576,2457656,111,-2,1798,-3,156,12,2500000,96,5,128,1353,1047,65131,2,1,5,8,1904523.256,10000000,77200,1.93,1
2457559,2457574,132,-2,1798,1919597,385,11,1250000,96,5,70,2548,613,140707,3,2,1,9,1445115.639,10000000,25000,4.13,1
2457453,2457549,111,-2,1798,-3,156,12,5e+05,96,5,255,5341,1395,200422,4,1,5,8,719703.881,8831000,18000,1.33,1
2457614,2457642,1,-2,1798,-3,156,12,1e+06,96,5,283,269,569,53429,1,1,5,8,1097040.246,2500000,400000,2.17,1
2457627,2457691,103,-2,1798,1522461,385,11,1250000,96,5,265,1698,613,103104,2,2,1,9,2475050,28527000,100000,1.59,1
2457523,2457612,4,-2,1798,-3,156,12,5e+05,96,5,60,7745,765,71601,2,1,5,8,1431667.604,10000000,26500,1.41,1
2457648,2457739,111,-2,1798,2382586,159,19,1e+07,96,5,259,5145,613,164909,3,2,1,9,771543.0769,10000000,50000,2.86,1
